keyword,weight
present appliance_model,0.7067
appliance_model drop,0.6306
appliance model,0.614
access appliance,0.5769
advanced_search page,0.5315
present appliance_model,0.6826
appliance_model drop,0.6262
appliance model,0.5855
access appliance,0.5671
search_query page,0.4174
access_3350 appliances,0.7642
appliance dashboard,0.7007
appliances display,0.5448
dashboard access_3350,0.4402
overview tab,0.3999
header section,0.7177
section display,0.6237
display things,0.3876
ha cluster,0.8805
cluster status,0.7887
current version,0.953
information displayed,0.7055
following information,0.5754
data restriction,0.8467
restriction mode,0.769
reliability score,0.8449
storage utilization,0.9088
home status,0.6815
unresolved events,0.9291
registration details,0.896
present appliance_model,0.7067
appliance_model drop,0.6306
appliance model,0.614
access appliance,0.5769
advanced_search page,0.5315
present appliance_model,0.6826
appliance_model drop,0.6262
appliance model,0.5855
access appliance,0.5671
search_query page,0.4174
access_3350 appliances,0.7642
appliance dashboard,0.7007
appliances display,0.5448
dashboard access_3350,0.4402
overview tab,0.3999
header section,0.7177
section display,0.6237
display things,0.3876
ha cluster,0.8805
cluster status,0.7887
current version,0.953
information displayed,0.7055
following information,0.5754
data restriction,0.8467
restriction mode,0.769
reliability score,0.8449
storage utilization,0.9088
home status,0.6815
unresolved events,0.9291
registration details,0.896
